"year","prov","population"
1997,10,547639
1998,10,537908
1999,10,532246
2000,10,526732
2001,10,521601
2002,10,519423
2003,10,518760
2004,10,516876
2005,10,513714
2006,10,510316
2007,10,510232
2008,10,513410
2009,10,518954
2010,10,522843
2011,10,525874
2012,10,527338
2013,10,528470
2014,10,528730
2015,10,529383
1997,11,136165
1998,11,135908
1999,11,136424
2000,11,136400
2001,11,136878
2002,11,137076
2003,11,137418
2004,11,137694
2005,11,138127
2006,11,137895
2007,11,138037
2008,11,139480
2009,11,140632
2010,11,142747
2011,11,144496
2012,11,145208
2013,11,145294
2014,11,146226
2015,11,146994
1997,12,932735
1998,12,932740
1999,12,935941
2000,12,934459
2001,12,933367
2002,12,935985
2003,12,938733
2004,12,939838
2005,12,938711
2006,12,937008
2007,12,935343
2008,12,937026
2009,12,940477
2010,12,944154
2011,12,945260
2012,12,944984
2013,12,943574
2014,12,944052
2015,12,945215
1997,13,752248
1998,13,750708
1999,13,750643
2000,13,750252
2001,13,749322
2002,13,749416
2003,13,749438
2004,13,749223
2005,13,747645
2006,13,744944
2007,13,746115
2008,13,747756
2009,13,751064
2010,13,754294
2011,13,755700
2012,13,756781
2013,13,755633
2014,13,755308
2015,13,754465
1997,24,7282871
1998,24,7305302
1999,24,7334722
2000,24,7368772
2001,24,7411660
2002,24,7455786
2003,24,7503358
2004,24,7553310
2005,24,7598610
2006,24,7652894
2007,24,7713018
2008,24,7786400
2009,24,7871410
2010,24,7954970
2011,24,8031428
2012,24,8108272
2013,24,8174338
2014,24,8235228
2015,24,8279216
1997,35,11278893
1998,35,11408804
1999,35,11559464
2000,35,11748348
2001,35,11962187
2002,35,12145310
2003,35,12290132
2004,35,12436416
2005,35,12578124
2006,35,12700318
2007,35,12806584
2008,35,12926563
2009,35,13046751
2010,35,13188726
2011,35,13317140
2012,35,13463298
2013,35,13609460
2014,35,13735317
2015,35,13854221
1997,46,1135649
1998,46,1138328
1999,46,1143618
2000,46,1148183
2001,46,1152172
2002,46,1157258
2003,46,1165460
2004,46,1174662
2005,46,1179072
2006,46,1183907
2007,46,1191653
2008,46,1199571
2009,46,1211929
2010,46,1224773
2011,46,1237759
2012,46,1254636
2013,46,1269579
2014,46,1285790
2015,46,1301357
1997,47,1017426
1998,47,1017748
1999,47,1012582
2000,47,1006027
2001,47,999204
2002,47,996308
2003,47,996584
2004,47,997013
2005,47,993288
2006,47,993325
2007,47,1007276
2008,47,1022499
2009,47,1039520
2010,47,1056108
2011,47,1070894
2012,47,1091938
2013,47,1109701
2014,47,1125074
2015,47,1137386
1997,48,2847526
1998,48,2915781
1999,48,2966682
2000,48,3016947
2001,48,3078448
2002,48,3144804
2003,48,3197557
2004,48,3260330
2005,48,3346577
2006,48,3453730
2007,48,3533289
2008,48,3619298
2009,48,3694520
2010,48,3747504
2011,48,3807046
2012,48,3908789
2013,48,4029102
2014,48,4133626
2015,48,4201458
1997,59,3964677
1998,59,3990451
1999,59,4021600
2000,59,4049297
2001,59,4085760
2002,59,4108076
2003,59,4133968
2004,59,4167227
2005,59,4212306
2006,59,4258216
2007,59,4312048
2008,59,4371250
2009,59,4431701
2010,59,4483677
2011,59,4520299
2012,59,4564878
2013,59,4612657
2014,59,4670870
2015,59,4713761
1997,60,31556
1998,60,30877
1999,60,30608
2000,60,30294
2001,60,30077
2002,60,30268
2003,60,31218
2004,60,31688
2005,60,32125
2006,60,32363
2007,60,32665
2008,60,33309
2009,60,34025
2010,60,34786
2011,60,35533
2012,60,36230
2013,60,36225
2014,60,37006
2015,60,37229
1997,61,41411
1998,61,40635
1999,61,40579
2000,61,40575
2001,61,41173
2002,61,41869
2003,61,42854
2004,61,43350
2005,61,43527
2006,61,43193
2007,61,43255
2008,61,43285
2009,61,42916
2010,61,43298
2011,61,43541
2012,61,43629
2013,61,43707
2014,61,44061
2015,61,44392
1997,62,25994
1998,62,26449
1999,62,26997
2000,62,27683
2001,62,28181
2002,62,28864
2003,62,29371
2004,62,29807
2005,62,30407
2006,62,30877
2007,62,31561
2008,62,31963
2009,62,32815
2010,62,33571
2011,62,34357
2012,62,34885
2013,62,35607
2014,62,36178
2015,62,36658
